rn,Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White
Cambodia,0,0.000596777402029043,0,0,0
Canada,0,0.0000331543001127246,0,0.0000331543001127246,0.00348120151183609
China,0,0.00218818380743982,0,0,0.0000663086002254492
Columbia,0.0000331543001127246,0,0,0.000198925800676348,0.00162456070552351
Cuba,0,0,0.0000994629003381739,0.0000663086002254492,0.00288442410980704
Dominican-Republic,0,0.0000331543001127246,0.000397851601352695,0.000596777402029043,0.00119355480405809
Ecuador,0,0,0,0.000298388701014522,0.000596777402029043
El-Salvador,0,0,0.0000331543001127246,0.000132617200450898,0.00314965851070884
England,0,0.0000331543001127246,0.000232080100789072,0,0.00258603540879252
France,0,0,0.0000331543001127246,0,0.00086201180293084
Germany,0.0000331543001127246,0.0000663086002254492,0.000198925800676348,0.0000331543001127246,0.00391220741330151
Greece,0,0.0000331543001127246,0,0,0.000928320403156289
Guatemala,0,0,0,0.000132617200450898,0.00195610370665075
Haiti,0,0.0000331543001127246,0.00135932630462171,0,0
Holand-Netherlands,0,0,0,0,0.0000331543001127246
Honduras,0,0,0.0000331543001127246,0,0.000364697301239971
Hong,0.0000331543001127246,0.000530468801803594,0,0,0.0000663086002254492
Hungary,0,0,0,0,0.00043100590146542
India,0,0.00281811550958159,0.0000663086002254492,0.000165771500563623,0.000265234400901797
Iran,0,0.000198925800676348,0,0.0000663086002254492,0.00112724620383264
Ireland,0,0.0000331543001127246,0,0,0.000762548902592666
Italy,0,0,0,0,0.00225449240766527
Jamaica,0,0,0.00245341820834162,0.0000331543001127246,0.000165771500563623
Japan,0,0.00122670910417081,0.0000994629003381739,0.0000331543001127246,0.000596777402029043
Laos,0,0.000563623101916319,0,0,0
Mexico,0.000265234400901797,0.0000331543001127246,0.000132617200450898,0.00125986340428354,0.0185332537630131
Nicaragua,0,0,0.0000663086002254492,0.000132617200450898,0.000895166103043565
Outlying-US(Guam-USVI-etc),0,0,0.000198925800676348,0,0.000265234400901797
Peru,0,0,0,0.0000331543001127246,0.000961474703269014
Philippines,0.0000331543001127246,0.00590146542006498,0.0000331543001127246,0,0.000265234400901797
Poland,0,0.0000331543001127246,0,0,0.00182348650619985
Portugal,0,0.0000331543001127246,0,0,0.00109409190371991
Puerto-Rico,0.0000331543001127246,0.0000331543001127246,0.000298388701014522,0.000663086002254492,0.00258603540879252
Scotland,0,0,0,0,0.000364697301239971
South,0.0000663086002254492,0.00225449240766527,0,0,0.0000331543001127246
Taiwan,0,0.00132617200450898,0,0,0.0000663086002254492
Thailand,0,0.000497314501690869,0,0,0.0000663086002254492
Trinadad&Tobago,0,0.0000663086002254492,0.000497314501690869,0.0000331543001127246,0
United-States,0.00898481533054837,0.00905112393077382,0.087162654996353,0.00374643591273788,0.802930840129965
Vietnam,0,0.00205556660698893,0,0,0.0000663086002254492
Yugoslavia,0,0,0,0,0.000530468801803594
